Homework,Exams,Letter
2.86,152,F
18,215,F
33.15,52,F
46.26,49.5,F
56.66,215,D
59.94,99.5,F
64.9,178,F
67.62,225,D
69.02,89,F
71.82,257,D
77.31,199.5,D
82.19,163,F
90.39,233,D
93.2,181,D
99.75,215,D
101.08,190,D
105.76,257,C
111.29,118.5,F
112.01,260,C
115.12,171,D
116.55,228,C
116.68,236,C
117.07,157,F
121.86,272,B
128.71,85,F
129.48,250,C
134.05,254,B
134.31,273,B
135.84,169,D
140.49,254,B
143.54,235,C
146.9,234,C
150.81,236,C
152.09,220,C
157.15,253,B
158.16,251,B
159.51,237,B
159.56,277,A
159.62,238,B
162.08,208,C
162.25,253,B
162.72,220,C
164.21,262,B
164.74,257,B
167.08,145,D
167.82,263,B
169.54,233,B
169.62,159,D
169.74,266,A
170.68,253,B
171.81,276,A
172.78,243,B
173.43,277,A
175.2,291,A
175.53,279,A
177.62,251,B
178.21,287,A
180.84,250,B
181,281,A
183.95,275,A
186.61,265,A
187.26,277,A
189.39,253,A
190.44,178,C
192.64,243,B
193.77,283,A
195.08,297,A
196.72,249,A
199.19,271,A
